2020-07-02 01:07:105 INFO  HomePageFeature:37 - Clicked on Shop
2020-07-02 01:07:919 INFO  ShopFeature:24 - Select BookProxy element for: DefaultElementLocator 'By.xpath: //h3[text()='HTML5 Forms']'
2020-07-02 01:07:933 INFO  WaitHelper:41 - Waiting for element to be visibleProxy element for: DefaultElementLocator 'By.name: quantity'
2020-07-02 01:07:579 INFO  WaitHelper:45 - Element is visible[[ChromeDriver: chrome on WINDOWS (5fbf3d75dbd73677c869c2988125ce36)] -> name: quantity]
2020-07-02 01:07:575 INFO  WaitHelper:41 - Waiting for element to be visible[[ChromeDriver: chrome on WINDOWS (5fbf3d75dbd73677c869c2988125ce36)] -> xpath: //a[@class='checkout-button button alt wc-forward']]
2020-07-02 01:07:642 INFO  WaitHelper:45 - Element is visible[[ChromeDriver: chrome on WINDOWS (5fbf3d75dbd73677c869c2988125ce36)] -> xpath: //a[@class='checkout-button button alt wc-forward']]
2020-07-02 01:07:855 INFO  BasketFeature:31 - Clicked on checkout Button Proxy element for: DefaultElementLocator 'By.xpath: //a[@class='checkout-button button alt wc-forward']'
2020-07-02 01:07:866 INFO  WaitHelper:30 - Set Implicit wait
2020-07-02 01:07:661 INFO  CheckoutFeature:30 - Entered First NameChandan
